Agency Name,State Name [District] Latest available year,Agency ID - NCES Assigned [District] Latest available year,Full-Time Equivalent (FTE) Teachers [District] 2009-10,Full-Time Equivalent (FTE) Teachers [Public School] 2009-10,Pupil/Teacher Ratio [District] 2009-10,Pupil/Teacher Ratio [Public School] 2009-10,Prekindergarten Teachers [District] 2009-10,Kindergarten Teachers [District] 2009-10,Elementary Teachers [District] 2009-10,Secondary Teachers [District] 2009-10,Ungraded Teachers [District] 2009-10,Total Staff [District] 2009-10,Instructional Aides [District] 2009-10,Instructional Coordinators [District] 2009-10,Elementary Guidance Counselors [District] 2009-10,Secondary Guidance Counselors [District] 2009-10,Other Guidance Counselors [District] 2009-10,Total Guidance Counselors [District] 2009-10,Librarians/Media Specialists [District] 2009-10,Library Media Support Staff [District] 2009-10,LEA Administrators [District] 2009-10,LEA Administrative Support Staff [District] 2009-10,School Administrators [District] 2009-10,School Administrative Support Staff [District] 2009-10,Student Support Services Staff [District] 2009-10,Other Support Services Staff [District] 2009-10
CENTER FOR ACADEMIC SUCCESS  INC.,Arizona,="0400016",0,†,†,†,0,0,0,0,†,–,0,0,0,0,†,0,0,0,0,0,0,0,0,0
CENTER FOR ADVANCED RESEARCH & TECH (CART) JPA,California,="0601351",–,†,†,†,–,–,–,–,†,–,0,–,–,–,†,–,–,–,0,–,0,–,0,0
CENTER FOR LITERACY AND CREATIVITY,Michigan,2600236,5.00,5.00,23.60,23.20,0,0,3.00,2.00,0,16.00,3.00,0,0,0,†,0,0,0,0,0,3.00,2.00,1.00,2.00
CENTER FOR STUDENT ACHIEVEMENT,Ohio,3900585,4.33,4.33,13.16,13.16,0,0,0,4.33,0,10.31,0,0,–,–,†,–,0,0,0,3.98,0,0,0,2.00
CENTER FOR STUDENT LEARNING CS AT PENNSBURY,Pennsylvania,4200100,11.40,11.40,12.19,12.19,0,0,0,10.38,1.02,25.03,5.50,0,="0.50",="0.50",†,1.00,0,0,1.34,0,="0.66",1.00,3.00,1.13
CENTER GROVE COM SCH CORP,Indiana,1801440,384.00,383.08,19.89,19.94,0,23.00,200.00,161.00,0,822.00,106.00,14.00,5.00,7.00,†,12.00,3.00,9.00,8.00,2.00,18.00,51.00,3.00,212.00
CENTER ISD,Texas,4813320,198.84,198.83,12.99,12.99,13.00,11.00,72.44,78.00,24.40,402.82,51.95,7.00,–,–,7.00,7.00,3.00,4.00,3.00,8.50,11.00,12.93,9.00,86.60
CENTER JOINT UNIFIED,California,="0607900",244.80,244.80,21.29,21.22,–,–,164.11,80.69,†,400.41,45.00,–,–,–,†,–,–,–,3.00,–,12.50,–,20.11,75.00
CENTER LINE PUBLIC SCHOOLS,Michigan,2608580,153.40,153.10,18.72,18.56,0,10.00,49.00,73.80,20.60,326.93,31.63,3.00,="0.24",5.76,†,6.00,2.00,4.00,4.00,2.10,7.20,28.00,6.30,79.30
CENTER MORICHES UNION FREE SCHOOL DISTRICT,New York,3606840,122.55,114.87,13.00,13.87,0,6.70,47.25,47.12,21.48,202.97,55.00,2.00,0,4.80,†,4.80,2.00,0,1.00,0,3.00,2.62,7.00,3.00
CENTER POINT ISD,Texas,4813350,44.60,44.59,13.99,13.99,1.19,3.14,15.23,21.84,3.20,90.85,9.82,1.04,–,–,2.00,2.00,1.00,1.00,2.00,2.56,2.00,3.50,2.22,19.11
CENTER POINT-URBANA COMM SCHOOL DISTRICT,Iowa,1906660,108.43,108.43,12.72,12.99,7.00,8.00,46.00,47.43,†,195.53,31.00,1.00,1.00,2.00,†,3.00,3.00,3.00,2.00,6.00,3.00,1.00,1.00,33.10
CENTER-STANTON 1,North Dakota,3800052,25.00,25.00,7.92,7.92,0,1.00,10.41,13.59,†,43.63,4.88,="0.50",–,–,1.00,1.00,1.00,0,2.30,="0.25",2.00,0,0,6.70
CENTERBURG LOCAL,Ohio,3904782,70.93,68.33,16.10,16.71,0,3.23,34.34,31.20,2.16,124.53,1.00,0,–,–,1.00,1.00,1.00,1.00,2.00,3.00,4.00,3.00,4.60,33.00
CENTERPOINT SCHOOL DISTRICT,Arkansas,="0506690",89.00,89.00,11.94,11.94,1.00,7.00,35.00,38.00,8.00,170.00,20.00,4.00,2.00,2.00,†,4.00,3.00,0,1.00,4.00,4.00,8.00,14.00,19.00
CENTERVILLE CITY,Ohio,3904373,447.51,440.60,18.77,19.06,6.50,18.00,171.65,226.86,24.50,1008.38,55.21,1.00,–,–,23.80,23.80,13.00,4.00,3.00,38.27,14.00,27.00,72.10,309.49
CENTERVILLE COMM SCHOOL DISTRICT,Iowa,1906750,124.75,124.75,12.32,11.66,1.50,9.82,57.82,55.61,†,228.95,28.50,0,1.00,1.00,†,2.00,2.00,1.00,2.00,4.50,7.00,9.00,4.00,44.20
CENTERVILLE ELEM,Montana,3025130,14.20,14.20,9.93,9.93,–,–,14.20,0,†,21.23,4.00,="0.62",="0.63",0,†,="0.63",="0.69",–,="0.20",–,="0.89",–,0,–
CENTERVILLE H S,Montana,3025140,9.12,9.13,9.65,9.64,–,–,0,9.12,†,10.57,0,0,0,="0.25",†,="0.25",="0.30",–,="0.20",–,="0.70",–,0,–
CENTERVILLE ISD,Texas,4813380,19.50,19.50,7.79,7.79,1.00,1.06,7.61,8.83,1.00,34.62,4.12,0,–,–,="0.50",="0.50",0,0,1.33,="0.67",="0.50",1.00,1.00,6.00
CENTERVILLE ISD,Texas,4813410,67.00,65.78,10.90,11.10,1.00,3.68,23.57,31.36,7.39,129.67,16.00,1.00,–,–,1.00,1.00,1.00,0,2.00,1.00,4.00,="0.92",7.00,28.75
CENTERVILLE R-I,Missouri,2908340,9.00,9.00,6.44,6.44,0,="0.74",8.26,0,†,13.50,0,0,="0.20",0,†,="0.20",0,0,="0.40",1.00,="0.40",0,0,2.50
CENTERVILLE SCHOOL DISTRICT,Washington,5301050,4.50,4.50,18.67,18.67,0,="0.50",3.00,1.00,0,10.13,2.00,0,0,0,†,0,0,0,="0.35",="0.90",0,0,0,2.38
CENTERVILLE SCHOOL DISTRICT 60-1,South Dakota,4611760,24.58,24.58,9.80,9.80,="0.50",1.00,13.55,6.99,2.54,53.80,2.49,="0.37",–,–,="0.25",="0.25",1.00,0,3.98,2.00,1.14,0,="0.49",17.50
CENTERVILLE-ABINGTON COM SCHS,Indiana,1801560,92.00,92.12,18.12,18.10,0,6.00,40.00,46.00,0,218.00,38.00,1.00,0,2.00,†,2.00,2.00,3.00,2.00,0,6.00,10.00,3.00,59.00
CENTINELA VALLEY UNION HIGH,California,="0607920",300.00,300.00,22.62,22.56,–,–,11.27,288.73,†,489.00,46.00,–,–,–,†,–,–,–,9.00,–,11.00,–,14.00,109.00
CENTRAL,Kansas,2004230,32.80,32.80,11.49,11.49,1.00,1.00,12.60,18.20,0,56.40,3.80,1.00,0,0,†,0,1.00,="0.60",0,2.00,2.50,1.70,1.50,9.50
CENTRAL,Oklahoma,4007140,39.00,39.00,13.46,13.46,2.00,2.00,21.20,13.80,†,70.50,7.00,0,="0.50",="0.50",†,1.00,1.00,1.00,1.00,1.00,2.00,2.00,3.00,12.50
CENTRAL A & M CUD 21,Illinois,1709100,61.63,60.63,15.09,15.21,1.00,3.00,34.00,23.63,0,70.63,–,0,1.00,1.00,†,2.00,2.00,–,1.00,–,4.00,–,0,–
CENTRAL ACADEMY,Michigan,2600163,30.00,30.00,17.33,17.13,1.80,2.41,12.51,10.08,3.20,58.95,8.00,1.00,0,0,†,0,0,0,0,0,2.00,4.00,4.66,9.29
CENTRAL ACADEMY OF OHIO,Ohio,3901313,5.00,5.00,10.40,10.40,0,0,2.96,1.54,="0.50",9.00,0,0,–,–,†,–,0,0,0,2.00,0,0,="0.75",1.25
CENTRAL ARIZONA VALLEY INSTITUTE OF TECHNOLOGY,Arizona,="0400348",6.50,†,2.62,2.62,0,0,0,6.50,†,11.50,0,1.00,0,0,†,0,0,0,1.00,0,1.00,2.00,0,0
CENTRAL BERKSHIRE,Massachusetts,2503390,145.20,145.20,13.68,13.68,3.00,8.49,89.71,44.00,†,293.92,89.06,0,1.00,3.00,†,4.00,2.00,0,5.28,6.43,9.87,11.00,21.08,0
CENTRAL BUCKS SD,Pennsylvania,4205310,1201.89,1197.31,17.00,17.07,0,28.00,564.60,549.52,59.77,2347.02,245.00,7.67,14.80,30.00,†,44.80,23.80,22.00,9.00,37.00,38.00,110.50,34.66,572.70
CENTRAL CALIF MIGRANT HEAD START JPA,California,="0601376",–,†,†,†,–,–,–,–,†,–,0,–,–,–,†,–,–,–,0,–,0,–,0,0
CENTRAL CALIFORNIA SCHOOL FINANCE AUTHORITY JPA,California,="0601353",–,†,†,†,–,–,–,–,†,–,0,–,–,–,†,–,–,–,0,–,0,–,0,0
CENTRAL CAMBRIA SD,Pennsylvania,4205340,120.80,120.80,14.85,14.85,0,9.00,55.97,51.66,4.17,221.00,17.00,1.50,1.00,3.00,†,4.00,2.00,0,2.20,6.50,5.00,8.50,3.50,50.00
CENTRAL CASS 17,North Dakota,3804090,60.38,60.38,13.55,13.55,1.00,4.54,34.11,20.73,†,97.81,13.20,="0.71",–,–,2.00,2.00,1.00,1.00,2.60,0,2.70,0,0,14.22
CENTRAL CHSD 71,Illinois,1704770,38.00,31.00,15.50,18.74,0,0,0,38.00,0,44.00,–,0,0,3.00,†,3.00,1.00,–,1.00,–,1.00,–,0,–
CENTRAL CITY COMM SCHOOL DISTRICT,Iowa,1906780,42.35,40.35,12.04,10.61,2.00,3.18,18.99,18.18,†,71.95,9.00,1.00,0,1.00,†,1.00,1.00,="0.50",2.00,1.00,2.00,2.00,1.50,8.60
CENTRAL CITY CYBERSCHOOL AGENCY,Wisconsin,5500041,22.00,22.00,16.14,16.14,2.00,2.00,12.00,6.00,0,40.00,8.32,1.00,1.00,0,†,1.00,1.00,0,0,0,0,1.75,2.50,2.43
CENTRAL CITY PUBLIC SCHOOLS,Nebraska,3104920,59.95,59.95,12.99,12.99,1.00,4.00,34.39,20.56,†,113.31,12.11,2.13,1.00,1.00,†,2.00,1.62,1.25,1.00,2.00,3.00,5.58,2.28,20.39
CENTRAL CITY SD 133,Illinois,1709180,19.43,18.43,11.12,11.72,1.00,1.00,17.43,0,0,20.43,–,0,0,0,†,0,0,–,1.00,–,0,–,0,–
CENTRAL CLINTON COMM SCHOOL DISTRICT,Iowa,1906810,127.23,122.57,12.77,12.30,9.62,6.86,47.81,62.94,†,221.03,24.90,1.00,2.00,1.00,†,3.00,1.00,2.80,1.80,3.00,5.00,6.50,0,44.80
CENTRAL COLUMBIA SD,Pennsylvania,4205370,140.00,140.00,14.19,14.19,0,4.00,54.50,68.50,13.00,256.25,36.50,1.00,2.00,3.00,†,5.00,2.00,4.00,2.00,6.50,6.00,7.00,1.25,45.00
CENTRAL COMM SCHOOL DISTRICT,Iowa,1906840,39.67,39.67,13.64,13.23,1.80,2.50,15.00,20.37,†,84.27,14.30,1.00,1.00,1.00,†,2.00,1.00,2.00,1.50,1.00,2.00,2.00,1.00,16.80
CENTRAL COMMUNITY SCHOOL DISTRICT,Louisiana,2200125,255.10,250.71,14.88,15.14,7.00,13.00,125.03,110.07,†,410.17,29.99,9.00,5.50,4.50,†,10.00,6.00,0,3.00,12.00,13.00,18.00,21.10,32.98
CENTRAL CONSOLIDATED SCHOOLS,New Mexico,3500390,456.73,456.75,14.58,14.57,16.00,31.00,158.25,169.10,82.38,1155.81,108.72,40.50,10.00,12.00,†,22.00,5.00,0,22.00,0,29.00,103.35,82.91,285.60
CENTRAL CURRY SD 1,Oregon,4105760,33.17,34.17,17.91,17.38,0,1.64,21.36,10.17,†,71.32,9.59,0,–,–,2.00,2.00,0,2.00,1.00,2.00,2.00,4.00,2.00,13.56
CENTRAL CUSD 3,Illinois,1708220,68.21,68.21,13.87,13.65,3.00,3.00,38.00,24.21,0,77.21,–,0,1.00,1.00,†,2.00,1.00,–,1.00,–,4.00,–,1.00,–
CENTRAL CUSD 301,Illinois,1707830,224.95,224.95,15.00,15.09,4.00,8.00,142.04,70.91,0,263.19,–,2.51,0,3.00,†,3.00,2.00,–,4.55,–,9.00,–,17.18,–
CENTRAL CUSD 4,Illinois,1710410,81.67,79.67,14.23,14.47,1.00,0,26.67,54.00,0,95.23,–,0,0,0,1.00,1.00,1.00,–,2.00,–,4.00,–,5.56,–
CENTRAL DAUPHIN SD,Pennsylvania,4205400,835.00,819.10,13.05,13.06,0,19.00,373.70,424.80,17.50,1466.50,132.00,5.00,11.00,16.00,†,27.00,17.00,11.00,4.00,29.00,43.00,50.00,34.50,279.00
CENTRAL DECATUR COMM SCHOOL DISTRICT,Iowa,1906900,53.90,52.90,13.17,13.78,4.00,4.00,23.10,22.80,†,121.90,20.00,1.00,0,1.00,†,1.00,2.00,3.00,2.00,3.50,3.00,2.00,3.50,27.00
CENTRAL ELEM 32,North Dakota,3800037,1.20,1.20,3.33,3.33,0,0,1.20,0,†,5.25,2.00,0,–,–,="0.01",="0.01",0,0,1.03,0,="0.01",0,0,1.00
CENTRAL ELEMENTARY,California,="0607950",190.67,190.67,25.55,25.55,–,–,176.08,14.59,†,361.67,32.00,–,–,–,†,–,–,–,6.00,–,9.00,–,15.00,109.00
CENTRAL FALLS,Rhode Island,4400120,278.00,275.70,10.29,10.37,4.00,22.00,124.00,128.00,†,450.00,40.00,1.00,3.00,5.00,†,8.00,6.00,2.00,3.00,9.00,12.00,13.00,19.00,59.00
CENTRAL FULTON SD,Pennsylvania,4214850,80.50,80.50,12.02,11.85,2.00,4.00,35.50,36.50,2.50,145.50,16.00,2.00,1.00,2.00,†,3.00,2.00,1.00,3.00,0,2.00,8.00,1.00,27.00
CENTRAL GREENE SD,Pennsylvania,4205430,173.48,173.48,12.02,12.02,0,9.00,75.58,83.90,5.00,286.40,15.00,1.00,2.00,3.00,†,5.00,3.00,2.00,2.00,0,10.92,17.00,1.00,56.00
CENTRAL HEIGHTS,Kansas,2000014,44.30,44.30,12.12,12.12,1.00,2.00,15.30,26.00,0,73.10,2.00,0,1.00,1.00,†,2.00,2.00,0,1.00,1.50,3.00,3.00,1.50,12.80
CENTRAL HEIGHTS ISD,Texas,4813440,65.00,65.00,13.28,13.28,="0.71",4.36,26.44,29.88,3.61,111.60,11.00,0,–,–,2.00,2.00,="0.50",0,2.00,3.00,3.00,2.00,1.00,22.10
CENTRAL HIGH,Oklahoma,4007170,29.10,29.10,15.02,15.02,1.90,2.00,16.80,8.40,†,50.30,4.00,0,="0.50",="0.50",†,1.00,="0.70",0,1.00,1.20,2.00,2.00,1.20,8.10
CENTRAL IL VOC ED COOP,Illinois,1700289,0,†,†,†,0,0,0,0,0,="0.30",–,0,0,0,†,0,0,–,="0.30",–,0,–,0,–
CENTRAL ILL RURAL REGION,Illinois,1700286,0,†,†,†,0,0,0,0,0,="0.83",–,0,0,0,†,0,0,–,="0.83",–,0,–,0,–
CENTRAL IN EDUCATION SERVICE CTR,Indiana,1800140,0,†,†,†,0,0,0,0,0,–,0,0,0,0,†,0,0,0,0,0,0,0,0,0
CENTRAL ISD,Texas,4813500,110.11,†,13.90,13.89,1.33,6.03,42.32,48.23,12.20,213.42,27.50,4.00,–,–,4.89,4.89,3.00,0,1.00,8.00,7.00,7.00,6.00,34.92
CENTRAL ISLIP UNION FREE SCHOOL DISTRICT,New York,3606870,546.96,545.54,11.88,11.91,9.66,37.35,209.73,184.37,105.85,1029.95,162.50,5.50,1.50,10.50,†,12.00,7.99,3.00,7.00,76.00,21.00,26.50,27.50,134.00
CENTRAL IU 10,Pennsylvania,4289200,17.32,†,†,†,0,0,3.00,6.57,7.75,98.42,28.50,3.00,0,0,†,0,0,0,2.00,19.50,="0.75",1.00,12.35,14.00
CENTRAL JERSEY ARTS CHARTER SCHOOL,New Jersey,3400075,30.00,29.00,11.30,11.69,0,3.00,23.00,3.00,1.00,53.00,10.00,0,1.00,0,†,1.00,0,–,1.00,0,1.00,5.00,2.00,3.00
CENTRAL JERSEY COLLEGE PREP CHARTER SCHOOL,New Jersey,3400090,27.00,25.00,10.11,10.92,0,0,2.00,23.00,2.00,46.00,8.00,1.00,0,2.00,†,2.00,0,–,2.00,0,0,1.00,1.00,4.00
CENTRAL KANSAS COOPERATIVE IN EDUCATION,Kansas,2000038,0,†,†,†,0,0,0,0,0,–,0,0,0,0,†,0,0,0,0,0,0,0,0,0
CENTRAL KENTUCKY EDUCATION COOPERATIVE,Kentucky,2100113,0,†,†,†,0,0,0,0,0,–,0,0,–,–,†,–,0,0,0,0,0,0,0,0
CENTRAL KENTUCKY SPECIAL EDUCATION COOPERATIVE,Kentucky,2100110,0,†,†,†,0,0,0,0,0,–,0,0,–,–,†,–,0,0,0,0,0,0,0,0
CENTRAL KITSAP SCHOOL DISTRICT,Washington,5301080,637.47,629.07,17.83,18.07,12.00,31.50,295.03,298.74,="0.20",1277.11,152.66,8.79,0,18.45,†,18.45,18.20,15.04,13.00,17.36,27.54,48.44,31.10,289.06
CENTRAL LAKE PUBLIC SCHOOLS,Michigan,2608610,20.39,20.39,18.73,18.54,0,1.00,5.34,11.05,3.00,50.54,="0.50",3.17,1.00,0,†,1.00,1.44,0,1.00,0,1.00,3.65,2.30,16.09
CENTRAL LAKES EDUCATION DISTRICT,Minnesota,2700061,0,†,†,†,0,0,0,0,0,–,0,0,0,0,†,0,0,0,0,0,0,0,0,0
CENTRAL LEE COMM SCHOOL DISTRICT,Iowa,1906930,68.63,68.63,12.82,14.91,2.76,5.21,28.88,31.78,†,129.93,21.30,0,0,1.00,†,1.00,0,2.80,1.00,2.00,3.00,5.00,1.00,24.20
CENTRAL LINN SD 552,Oregon,4102910,39.21,36.33,17.93,19.27,0,2.71,23.16,13.34,†,86.53,12.06,0,–,–,1.00,1.00,0,1.05,2.00,4.60,3.00,3.53,6.40,13.68
CENTRAL LOCAL,Ohio,3904671,70.12,63.60,16.23,17.86,0,3.55,32.36,33.45,="0.76",154.07,8.72,1.00,–,–,3.00,3.00,1.00,2.26,2.00,9.61,4.00,3.80,2.00,46.56
CENTRAL LYON COMM SCHOOL DISTRICT,Iowa,1906960,53.79,53.79,13.22,11.75,="0.90",4.23,21.53,27.13,†,97.19,15.00,1.00,0,1.00,†,1.00,2.00,="0.90",1.80,1.20,2.00,4.30,0,14.20
CENTRAL MINNESOTA E.R.D.C.,Minnesota,2700147,0,†,†,†,0,0,0,0,0,–,0,0,0,0,†,0,0,0,0,0,0,0,0,0
CENTRAL MINNESOTA JT. POWERS DIST.,Minnesota,2700143,0,†,†,†,0,0,0,0,0,–,0,0,0,0,†,0,0,0,0,0,0,0,0,0
CENTRAL MN ED TELECOM SYSTEM,Minnesota,2700205,0,†,†,†,0,0,0,0,0,–,0,0,0,0,†,0,0,0,0,0,0,0,0,0
CENTRAL MONTCALM PUBLIC SCHOOLS,Michigan,2608640,96.35,95.25,20.07,20.09,1.00,7.00,35.30,38.20,14.85,199.80,20.00,3.00,="0.99",2.20,†,3.19,0,0,5.00,1.00,5.00,15.40,8.00,42.86
CENTRAL MONTCO TECHNICAL HIGH SCHOOL,Pennsylvania,4280330,24.00,24.00,0,0,0,0,0,23.00,1.00,53.50,7.00,0,0,1.00,†,1.00,0,0,2.00,1.00,2.00,6.00,2.00,8.50
CENTRAL MT LEARN RES CTR,Montana,3000029,5.00,†,†,†,–,–,5.00,0,†,17.20,1.00,0,0,0,†,0,0,–,1.00,–,0,–,10.20,–
CENTRAL NINE CAREER CENTER,Indiana,1801470,26.00,26.00,0,0,0,0,0,26.00,0,51.00,4.00,6.00,0,1.00,†,1.00,0,0,3.00,0,0,5.00,0,6.00
CENTRAL NOBLE COM SCHOOL CORP,Indiana,1801710,74.00,74.00,18.39,18.39,0,5.00,33.00,36.00,0,184.00,30.00,3.00,1.00,2.00,†,3.00,1.00,4.00,2.00,1.00,5.00,14.00,2.00,45.00
CENTRAL ORANGE COUNTY CTE PARTNERSHIP (CTEP),California,="0600124",0,0,†,†,–,–,–,–,†,–,0,–,–,–,†,–,–,–,0,–,0,–,0,0
CENTRAL PA DIGITAL LEARNING FOUNDATION CS,Pennsylvania,4200095,9.62,9.62,13.93,13.93,0,="0.10",="0.35",9.15,="0.02",14.82,0,0,0,0,†,0,0,0,="0.10",="0.50",="0.20",1.00,1.30,2.10
CENTRAL PA INSTITUTE OF SCIENCE & TECHNOLOGY,Pennsylvania,4280530,21.00,21.00,0,0,0,0,0,21.00,0,37.00,5.00,0,0,0,†,0,0,0,1.00,0,1.00,4.00,0,5.00
CENTRAL PARK SCHOOL FOR CHILDREN,North Carolina,3700130,25.00,26.00,12.16,11.69,0,2.00,17.00,6.00,0,38.00,3.00,0,1.00,0,†,1.00,0,0,4.00,0,2.00,1.00,2.00,0
CENTRAL POINT SD 6,Oregon,4102940,206.17,204.17,22.69,22.20,0,9.93,120.73,75.51,†,427.43,54.85,0,–,–,2.00,2.00,0,9.76,1.00,47.24,11.20,60.27,13.47,21.47
CENTRAL PUBLIC SCHOOL DISTRICT,Minnesota,2723910,70.08,69.61,14.65,14.65,4.16,4.36,28.82,32.27,="0.47",107.15,13.66,0,0,0,†,0,1.00,="0.85",3.00,3.73,4.00,5.83,4.00,1.00
CENTRAL R-III,Missouri,2929170,134.04,133.60,15.32,15.37,5.00,9.99,56.21,62.84,†,297.44,26.00,1.40,2.00,2.50,†,4.50,4.00,0,3.00,11.00,6.00,0,9.50,98.00
CENTRAL REGIONAL SCHOOL DISTRICT,New Jersey,3402910,154.00,140.00,13.08,14.29,0,0,61.00,85.00,8.00,326.00,31.00,6.00,2.00,5.00,†,7.00,3.00,–,3.00,15.00,8.00,18.00,15.00,66.00
CENTRAL SAVANNAH RIVER RESA,Georgia,1300015,9.00,9.00,0,†,0,0,0,9.00,0,54.20,13.20,7.00,0,0,†,0,0,0,8.00,4.00,0,1.50,2.00,9.50
CENTRAL SD 104,Illinois,1709170,43.50,43.50,11.75,11.70,2.00,3.00,38.50,0,0,51.50,–,0,1.00,0,†,1.00,1.00,–,1.00,–,3.00,–,2.00,–
CENTRAL SD 13J,Oregon,4102840,144.26,142.82,20.36,20.40,0,9.29,96.71,38.26,†,333.88,80.78,4.00,–,–,2.80,2.80,0,6.00,2.93,11.00,9.00,17.06,4.88,51.17
CENTRAL SD 51,Illinois,1709150,58.00,†,17.74,20.66,1.00,0,53.00,4.00,0,63.40,–,0,0,0,†,0,0,–,1.00,–,1.00,–,3.40,–
CENTRAL SIERRA ROP,California,="0600096",0,0,†,†,–,–,–,–,†,–,0,–,–,–,†,–,–,–,0,–,0,–,0,0
CENTRAL SIERRA ROP JPA,California,="0601400",–,†,†,†,–,–,–,–,†,–,0,–,–,–,†,–,–,–,0,–,0,–,0,0
CENTRAL SPRINGS COMM SCHOOL DISTRICT,Iowa,1920760,41.08,41.08,12.29,10.64,0,3.35,11.89,25.84,†,80.38,7.00,0,0,1.00,†,1.00,1.00,2.40,1.00,2.00,2.00,2.50,0,20.40
CENTRAL SQUARE CENTRAL SCHOOL DISTRICT,New York,3606900,324.18,314.36,14.29,14.74,3.25,18.14,125.51,137.66,39.62,761.48,111.50,1.00,0,10.00,†,10.00,8.00,2.00,4.00,38.50,13.00,6.30,16.00,227.00
CENTRAL STICKNEY SD 110,Illinois,1737860,24.00,24.00,19.67,19.63,1.00,2.00,21.00,0,0,26.00,–,0,0,0,†,0,0,–,1.00,–,1.00,–,0,–
CENTRAL SUSQUEHANNA IU 16,Pennsylvania,4289260,143.00,†,†,†,21.44,10.56,39.87,25.25,45.88,677.00,136.50,10.00,0,0,†,0,0,0,4.80,26.00,0,26.00,43.20,287.50
CENTRAL TECH,Oklahoma,4000058,0,†,†,†,0,0,0,0,†,–,0,0,0,0,†,0,0,0,0,0,0,0,0,0
CENTRAL UNIFIED,California,="0607970",629.04,629.04,23.13,23.13,–,–,444.75,184.29,†,1036.54,117.00,–,–,–,†,–,–,–,12.00,–,50.00,–,59.50,169.00
CENTRAL UNION ELEMENTARY,California,="0607980",103.00,103.00,18.39,18.39,–,–,103.00,0,†,202.00,56.00,–,–,–,†,–,–,–,5.00,–,7.00,–,4.00,27.00
CENTRAL UNION HIGH,California,="0608010",184.00,†,22.30,22.30,–,–,8.53,175.47,†,294.86,11.00,–,–,–,†,–,–,–,3.00,–,10.00,–,15.86,71.00
CENTRAL UTAH ED SERVICES,Utah,4900027,0,†,†,†,0,0,0,0,0,–,0,0,0,0,†,0,0,0,0,0,0,0,0,0
CENTRAL VALLEY 3,North Dakota,3804140,20.20,20.20,10.74,10.74,0,1.00,9.07,10.13,†,36.10,3.50,0,–,–,="0.72",="0.72",1.58,0,1.50,0,="0.72",0,0,7.88
CENTRAL VALLEY PRE-SCHOOL JPA,California,="0601378",–,†,†,†,–,–,–,–,†,–,0,–,–,–,†,–,–,–,0,–,0,–,0,0
CENTRAL VALLEY SCHOOL DISTRICT,Washington,5301110,669.20,632.36,18.53,19.61,2.50,29.00,298.78,277.03,61.89,1269.09,96.75,1.00,12.64,15.96,†,28.60,22.00,5.44,13.00,15.59,33.00,49.53,49.71,285.27
CENTRAL VALLEY SD,Pennsylvania,4200824,139.13,139.13,16.77,16.77,0,6.00,54.50,71.63,7.00,280.38,26.50,1.00,0,0,†,0,1.75,0,3.00,4.00,7.00,14.00,1.00,83.00
CENTRAL VALLEY SUPPORT SERVICES JPA,California,="0601362",–,†,†,†,–,–,–,–,†,–,0,–,–,–,†,–,–,–,0,–,0,–,0,0
CENTRAL VIRGINIA GOV SCH FOR SCI/TECH,Virginia,5102173,0,0,†,†,0,0,0,0,†,–,0,0,0,0,†,0,0,0,0,0,0,0,0,0
CENTRAL WESTMORELAND CTC,Pennsylvania,4280470,40.00,40.00,0,0,0,0,0,38.00,2.00,75.00,7.00,1.00,0,2.00,†,2.00,0,0,1.00,0,3.00,13.00,1.00,7.00
CENTRAL YORK SD,Pennsylvania,4205490,354.50,354.50,15.76,15.76,0,22.00,154.32,165.18,13.00,667.53,65.00,3.00,6.00,9.00,†,15.00,6.00,11.00,3.00,16.00,17.00,19.00,28.03,130.00
CENTRAL/WESTOSHA UHS SCHOOL DISTRICT,Wisconsin,5513290,73.10,73.10,16.43,16.43,0,0,0,73.10,0,120.69,9.73,2.00,0,4.00,†,4.00,1.00,2.00,1.00,0,3.46,10.00,4.20,10.20
CENTRALIA COLLEGE,Washington,5300016,0,0,†,†,0,0,0,0,0,–,0,0,0,0,†,0,0,0,0,0,0,0,0,0
CENTRALIA ELEMENTARY,California,="0608070",179.50,179.50,25.44,25.39,–,–,179.50,0,†,329.53,65.00,–,–,–,†,–,–,–,3.00,–,9.00,–,22.03,51.00
CENTRALIA HSD 200,Illinois,1709300,73.00,73.00,14.08,13.55,0,0,0,73.00,0,82.00,–,0,0,4.00,†,4.00,1.00,–,1.00,–,3.00,–,0,–
CENTRALIA R-VI,Missouri,2908400,97.45,97.12,13.74,13.79,1.35,6.72,39.62,49.76,†,172.30,16.42,="0.50",2.00,2.75,†,4.75,6.50,0,2.00,9.00,5.88,0,6.80,23.00
CENTRALIA SCHOOL DISTRICT,Washington,5301140,183.02,181.69,16.75,16.83,2.58,12.66,90.75,75.69,1.34,354.16,45.27,1.85,4.00,5.50,†,9.50,1.00,4.43,3.00,4.64,10.75,13.31,0,77.39
CENTRALIA SD 135,Illinois,1709270,92.50,92.50,14.34,14.30,2.00,9.00,81.50,0,0,108.50,–,1.00,1.00,0,†,1.00,1.00,–,3.00,–,6.00,–,4.00,–
CENTRE,Kansas,2008940,25.60,24.60,9.49,9.88,1.00,1.00,11.10,12.50,0,44.20,1.50,0,="0.20",="0.80",†,1.00,="0.50",0,="0.50",1.50,1.50,2.30,="0.40",9.40
