Agency Name,State Name [District] Latest available year,Agency ID - NCES Assigned [District] Latest available year,Full-Time Equivalent (FTE) Teachers [District] 2009-10,Full-Time Equivalent (FTE) Teachers [Public School] 2009-10,Pupil/Teacher Ratio [District] 2009-10,Pupil/Teacher Ratio [Public School] 2009-10,Prekindergarten Teachers [District] 2009-10,Kindergarten Teachers [District] 2009-10,Elementary Teachers [District] 2009-10,Secondary Teachers [District] 2009-10,Ungraded Teachers [District] 2009-10,Total Staff [District] 2009-10,Instructional Aides [District] 2009-10,Instructional Coordinators [District] 2009-10,Elementary Guidance Counselors [District] 2009-10,Secondary Guidance Counselors [District] 2009-10,Other Guidance Counselors [District] 2009-10,Total Guidance Counselors [District] 2009-10,Librarians/Media Specialists [District] 2009-10,Library Media Support Staff [District] 2009-10,LEA Administrators [District] 2009-10,LEA Administrative Support Staff [District] 2009-10,School Administrators [District] 2009-10,School Administrative Support Staff [District] 2009-10,Student Support Services Staff [District] 2009-10,Other Support Services Staff [District] 2009-10
HAMILTON TOWNSHIP,New Jersey,3406540,985.00,829.00,13.21,15.57,7.00,42.00,551.00,318.00,67.00,1755.00,202.00,26.00,27.00,24.00,†,51.00,15.00,–,3.00,58.00,43.00,61.00,94.00,217.00
HAMILTON TOWNSHIP SCHOOL DISTRICT,New Jersey,3406510,262.00,218.00,12.60,15.12,10.00,14.00,160.00,40.00,38.00,456.00,71.00,3.00,6.00,0,†,6.00,3.00,–,3.00,9.00,8.00,15.00,21.00,55.00
HAMILTON UNIFIED,California,="0601339",37.66,37.66,22.30,22.30,–,–,23.66,14.00,†,60.12,5.00,–,–,–,†,–,–,–,1.00,–,2.66,–,2.80,11.00
HAMILTON-FULTON-MONTGOMERY BOCES,New York,3680400,77.48,†,0,†,0,0,6.08,37.70,33.70,159.56,0,4.47,="0.36",4.43,†,4.79,1.82,0,7.00,0,1.00,52.20,10.80,0
HAMILTON-WENHAM,Massachusetts,2505670,163.64,163.64,12.38,12.38,2.00,7.56,93.31,60.77,†,294.99,61.47,0,0,3.80,†,3.80,3.80,1.00,5.74,8.25,13.37,9.36,24.56,0
HAMILTON/JEFFERSON ROE,Illinois,1700185,14.77,4.00,0,13.25,8.00,0,1.44,5.33,0,20.77,–,1.00,0,0,†,0,0,–,3.00,–,2.00,–,0,–
HAMLIN ISD,Texas,4822260,43.01,43.29,11.53,11.46,1.63,2.13,14.60,21.18,3.47,85.87,14.00,="0.46",–,–,2.00,2.00,0,0,0,4.00,3.00,4.00,1.00,14.40
HAMLIN SCHOOL DISTRICT 28-3,South Dakota,4630800,43.37,43.37,15.75,15.75,="0.80",2.00,25.47,12.10,3.00,93.55,11.50,0,–,–,1.98,1.98,1.00,0,4.50,2.00,3.08,2.00,1.50,22.62
HAMMON,Oklahoma,4013650,20.70,20.70,13.00,13.00,0,1.00,10.90,8.80,†,50.20,5.60,1.00,="0.40",1.00,†,1.40,="0.70",2.00,1.00,2.60,1.60,3.00,1.50,9.10
HAMMOND ACADEMY OF SCIENCE & TECH,Indiana,1800082,0,†,†,†,0,0,0,0,0,–,0,0,0,0,†,0,0,0,0,0,0,0,0,0
