Agency Name,State Name [District] Latest available year,Agency ID - NCES Assigned [District] Latest available year,Full-Time Equivalent (FTE) Teachers [District] 2009-10,Full-Time Equivalent (FTE) Teachers [Public School] 2009-10,Pupil/Teacher Ratio [District] 2009-10,Pupil/Teacher Ratio [Public School] 2009-10,Prekindergarten Teachers [District] 2009-10,Kindergarten Teachers [District] 2009-10,Elementary Teachers [District] 2009-10,Secondary Teachers [District] 2009-10,Ungraded Teachers [District] 2009-10,Total Staff [District] 2009-10,Instructional Aides [District] 2009-10,Instructional Coordinators [District] 2009-10,Elementary Guidance Counselors [District] 2009-10,Secondary Guidance Counselors [District] 2009-10,Total Guidance Counselors [District] 2009-10,Librarians/Media Specialists [District] 2009-10,Library Media Support Staff [District] 2009-10,LEA Administrators [District] 2009-10,LEA Administrative Support Staff [District] 2009-10,School Administrators [District] 2009-10,School Administrative Support Staff [District] 2009-10,Student Support Services Staff [District] 2009-10,Other Support Services Staff [District] 2009-10
HENDRICK HUDSON CENTRAL SCHOOL DISTRICT,New York,3614190,235.70,224.00,11.80,12.50,0,14.80,103.60,91.40,25.90,500.20,83.50,="0.60",0,–,7.00,5.00,3.00,3.40,33.00,8.00,3.60,15.90,101.50
HENDRICKS PUBLIC SCHOOL DISTRICT,Minnesota,2713680,14.40,14.40,11.50,11.50,1.00,1.00,12.40,0,0,25.50,4.20,0,–,0,–,0,="0.20",0,0,1.00,="0.60",2.30,2.80
HENDRY,Florida,1200780,415.00,†,18.00,18.10,3.00,28.00,166.00,161.00,57.00,935.00,121.00,5.00,6.00,7.00,15.00,10.00,5.00,8.00,58.00,22.00,42.00,26.00,208.00
HENNESSEY,Oklahoma,4014340,61.30,61.30,13.60,13.60,4.00,3.00,29.10,21.20,4.00,115.40,12.70,0,2.00,1.00,3.00,1.00,2.00,1.00,3.70,3.00,4.00,3.00,20.70
HENNIKER SAU OFFICE,New Hampshire,3300007,–,†,†,†,–,–,–,–,†,13.60,–,–,–,–,–,–,–,7.60,6.00,–,–,–,–
HENNIKER SCHOOL DISTRICT,New Hampshire,3303690,43.10,43.10,10.60,10.60,="0.50",1.50,41.10,0,†,85.40,20.80,–,1.50,0,1.50,1.00,="0.70",0,0,1.00,3.60,–,13.70
HENNING PUBLIC SCHOOL DISTRICT,Minnesota,2713860,28.60,28.50,12.90,12.90,="0.70",2.00,12.80,13.00,="0.10",55.30,7.80,="0.30",0,0,0,0,="0.60",="0.80",2.90,1.00,0,3.90,9.40
HENRICO CO PBLC SCHS,Virginia,5101890,4281.00,3341.20,11.10,14.60,48.00,194.00,1195.00,2844.00,†,8128.00,364.00,286.00,44.00,85.00,129.00,79.00,44.00,49.00,262.00,134.00,222.00,115.00,2163.00
HENRIETTA ISD,Texas,4822980,84.20,83.20,11.90,12.10,1.00,4.30,30.20,40.20,8.50,165.50,20.00,1.80,–,–,3.50,1.00,1.00,3.00,2.90,5.00,6.00,12.50,24.60
HENRY CO PBLC SCHS,Virginia,5101920,658.00,592.30,11.90,13.20,18.00,30.00,228.00,382.00,†,1367.00,176.00,108.00,11.00,14.00,25.00,18.00,5.00,4.00,1.00,30.00,0,24.00,318.00
HENRY CO. R-I,Missouri,2932110,57.90,56.80,12.10,12.30,2.00,4.00,28.50,23.40,0,93.50,9.50,0,1.00,1.00,2.00,1.00,0,2.00,5.00,2.00,–,13.30,="0.80"
HENRY CO/MARTINSVILLE REG PGM,Virginia,5100031,0,0,†,†,0,0,0,0,†,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HENRY COUNTY,Tennessee,4701830,212.10,205.10,14.80,15.40,5.00,10.00,111.00,84.10,2.00,457.60,52.00,4.50,5.00,4.00,9.00,6.00,–,1.50,7.00,12.00,16.00,8.50,129.00
HENRY COUNTY,Kentucky,2102760,132.50,138.00,16.10,15.40,2.00,8.00,65.00,35.00,22.50,315.70,34.30,6.00,–,–,4.50,3.50,0,5.90,13.60,8.00,21.40,7.30,78.70
HENRY COUNTY,Georgia,1302820,2481.70,2482.30,15.10,15.00,19.70,165.50,1278.60,1017.90,†,4594.30,416.00,6.00,36.00,47.90,83.90,43.00,35.40,11.50,17.00,144.50,167.00,137.50,1050.80
HENRY COUNTY,Alabama,="0101740",196.00,175.60,14.10,15.70,1.00,13.50,101.50,80.00,†,363.60,–,–,–,–,6.00,6.00,5.00,1.00,7.20,14.00,11.70,5.50,111.20
HENRY FORD ACADEMY,Michigan,2600171,24.50,24.50,19.60,19.60,0,0,0,24.00,="0.50",34.00,3.00,0,–,–,1.50,0,0,0,0,3.00,2.00,0,0
